policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,materialize_ms,prefetch_wait_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,oracle_topology_file,model_file,model_topology_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
ttg,Traverse,1250,5,872.7659052237868,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,194.817,89.952,,,598.302,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,6,900.044378824532,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,213.815,87.356,,,605.157,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,7,899.4915056973696,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,181.429,86.532,,,626.288,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,8,883.8763441890478,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,178.913,90.489,,,615.347,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,9,881.3874032348394,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,185.487,87.365,,,605.240,99.4,998,0,6,0,,,,,,,,,,,,,
ttg,Traverse,1250,10,869.9600920081139,c0902745-df50-45e1-bb60-162d077bb79b,,,10,,,,,,,,,0.000,179.989,88.551,,,601.492,99.4,998,0,6,0,,,,,,,,,,,,,
oracle,Traverse,0,1,791.0149516537786,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,80.984,89.705,85.191,,,513.125,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial1.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial1.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,2,823.7984804436564,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,81.362,90.265,86.865,,,534.684,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial2.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial2.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,3,798.4173754230142,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,80.149,88.671,87.419,,,521.898,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial3.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial3.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,4,805.8998929336667,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,82.893,91.618,87.003,,,526.159,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial4.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial4.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,5,792.4321861937642,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,81.264,90.046,86.278,,,515.150,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial5.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial5.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,6,798.2344618067145,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,79.472,88.204,85.909,,,521.313,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial6.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial6.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,7,799.4608394801617,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,80.303,88.985,86.288,,,522.876,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial7.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial7.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,8,776.909239590168,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,80.204,88.827,86.240,,,512.991,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial8.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial8.uuids.topology.json,,,,,,,,,,
oracle,Traverse,0,9,789.4077897071838,988876ae-4458-4682-82c7-44bcbd013682,,,10,,,,,,,,,82.288,90.895,88.100,,,510.407,99.5,999,0,5,0,,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial9.uuids,/workspace/jaseci_external_tools/linked_list/oracle_plans/linked_list/Traverse/988876ae-4458-4682-82c7-44bcbd013682_limit0_trial9.uuids.topology.json,,,,,,,,,,
