nodes,run,backend,time_s
170,8,redis,0.001086
170,9,mongodb,0.001074
170,9,redis,0.001215
170,10,mongodb,0.000891
170,10,redis,0.000911
180,1,mongodb,0.000978
180,1,redis,0.001037
180,2,mongodb,0.000990
180,2,redis,0.001038
180,3,mongodb,0.001024
180,3,redis,0.000945
180,4,mongodb,0.000936
180,4,redis,0.000939
180,5,mongodb,0.000931
180,5,redis,0.000939
180,6,mongodb,0.000922
180,6,redis,0.000943
180,7,mongodb,0.000965
180,7,redis,0.001000
180,8,mongodb,0.000925
180,8,redis,0.000922
180,9,mongodb,0.000930
180,9,redis,0.000942
180,10,mongodb,0.000971
180,10,redis,0.000941
190,1,mongodb,0.001015
190,1,redis,0.000996
190,2,mongodb,0.001175
190,2,redis,0.001093
190,3,mongodb,0.001106
190,3,redis,0.000999
190,4,mongodb,0.001030
190,4,redis,0.000991
190,5,mongodb,0.001016
190,5,redis,0.001048
190,6,mongodb,0.001062
190,6,redis,0.001013
190,7,mongodb,0.001008
190,7,redis,0.001016
190,8,mongodb,0.001055
190,8,redis,0.001017
190,9,mongodb,0.001051
190,9,redis,0.000995
190,10,mongodb,0.001017
190,10,redis,0.001006
200,1,mongodb,0.001080
200,1,redis,0.001064
200,2,mongodb,0.001045
200,2,redis,0.001063
200,3,mongodb,0.001060
200,3,redis,0.001085
200,4,mongodb,0.002189
200,4,redis,0.001467
200,5,mongodb,0.001403
200,5,redis,0.001405
200,6,mongodb,0.001318
200,6,redis,0.001358
200,7,mongodb,0.001217
200,7,redis,0.001363
200,8,mongodb,0.001197
200,8,redis,0.001349
200,9,mongodb,0.001205
200,9,redis,0.001349
200,10,mongodb,0.001353
200,10,redis,0.001367
210,1,mongodb,0.001324
210,1,redis,0.001461
210,2,mongodb,0.001363
210,2,redis,0.001421
210,3,mongodb,0.001287
210,3,redis,0.001434
210,4,mongodb,0.001280
210,4,redis,0.001118
210,5,mongodb,0.001096
210,5,redis,0.001100
210,6,mongodb,0.001127
210,6,redis,0.001094
210,7,mongodb,0.001129
210,7,redis,0.001123
210,8,mongodb,0.001220
210,8,redis,0.001110
210,9,mongodb,0.001055
210,9,redis,0.001093
210,10,mongodb,0.001043
210,10,redis,0.001091
220,1,mongodb,0.001116
220,1,redis,0.001162
220,2,mongodb,0.001219
220,2,redis,0.001440
220,3,mongodb,0.001591
220,3,redis,0.001180
220,4,mongodb,0.001080
220,4,redis,0.001145
220,5,mongodb,0.001108
220,5,redis,0.001164
220,6,mongodb,0.001086
220,6,redis,0.001163
220,7,mongodb,0.001062
220,7,redis,0.001136
220,8,mongodb,0.001062
220,8,redis,0.001138
220,9,mongodb,0.001043
220,9,redis,0.001130
220,10,mongodb,0.001048
220,10,redis,0.001201
230,1,mongodb,0.001168
230,1,redis,0.001221
230,2,mongodb,0.001187
230,2,redis,0.001225
230,3,mongodb,0.001305
230,3,redis,0.001214
230,4,mongodb,0.001162
230,4,redis,0.001197
230,5,mongodb,0.001131
230,5,redis,0.001190
230,6,mongodb,0.001122
230,6,redis,0.001216
230,7,mongodb,0.001217
230,7,redis,0.001262
230,8,mongodb,0.001178
230,8,redis,0.001184
230,9,mongodb,0.001135
230,9,redis,0.001213
230,10,mongodb,0.001186
230,10,redis,0.001200
240,1,mongodb,0.001228
240,1,redis,0.001262
240,2,mongodb,0.001227
240,2,redis,0.001273
240,3,mongodb,0.002067
240,3,redis,0.001320
240,4,mongodb,0.001841
240,4,redis,0.001232
240,5,mongodb,0.001996
240,5,redis,0.001346
240,6,mongodb,0.001822
240,6,redis,0.001246
240,7,mongodb,0.002211
240,7,redis,0.001248
240,8,mongodb,0.001818
240,8,redis,0.001259
240,9,mongodb,0.001407
240,9,redis,0.001257
240,10,mongodb,0.001352
240,10,redis,0.001200
250,1,mongodb,0.001571
250,1,redis,0.001308
250,2,mongodb,0.001457
250,2,redis,0.001314
250,3,mongodb,0.001422
250,3,redis,0.001320
250,4,mongodb,0.001401
250,4,redis,0.001550
250,5,mongodb,0.001399
250,5,redis,0.001550
250,6,mongodb,0.001424
250,6,redis,0.001464
250,7,mongodb,0.001391
250,7,redis,0.001553
